회사명,거래소코드,회계년도,총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),매출액증가율(IFRS연결),산업명,상장일,상장폐지일,유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)비트컴퓨터,032850,2020/12,9.73,12.49,-0.25,  출판업,1997/07/04,,205.82,202.24,85.87,15.34,29.06,657.69,8.41,28.09,999999999,3.47,90.55,29.84,28.77,14.64,17.37,8.5,8.21,10.53,0.56,0.72,0.84,82.32,9.25,15.97,22.86,4.43,39.46,0.05,0.01,12.91,11.46,-8.72,394,-1.95,24.84,-7.81,-32.16,-10.12,2242.79,,328.34,77.48,1.19,2.11,1.7,1.73,,,,,,19249.23,,,,27.28,111.16,0,51.63,50.07,49.93,33.63
(주)비피도,238200,2020/12,-1.11,-1.22,-4.86,  식료품 제조업,2018/12/26,,582.17,537.59,78.87,61.91,15.03,2180.9,0.45,-67.94,999999999,4.7,29.04,74.75,36.13,-4.81,-4.47,-1,-1.2,-1.31,0.25,0.27,0.58,4.06,7.49,32.78,11.14,90,48.76,0.01,0,6.34,-3.66,0,-137,-58.63,-56.98,111.44,-7.32,0,3027.1,,-145.73,86.93,0.38,0.59,0.44,0.49,,,,,,3800.31,,,,7.41,31.41,59.49,30.7,86.96,13.04,-14.55
(주)빅솔론,093190,2012/12,15.46,18.22,-5.53,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/08/20,,589.03,431.95,53.66,62.35,15.65,1387.71,0.87,58.26,197.81,50.25,28.79,75.1,30.22,13.98,16.02,13.62,13.49,15.9,0.97,1.14,3.8,4.27,9.61,16.66,21.91,85.42,37.99,0.01,0,11.6,16.21,-0.07,1270,2.49,6.99,13.22,-12.16,-11.11,7342.56,,1026.25,86.47,1.09,7.96,1.29,1.86,,,,,,28498.33,,,,34.82,299.37,932.11,38.05,41.66,58.34,42.1
(주)빅솔론,093190,2014/12,12.23,14.2,-6.11,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/08/20,,636.27,491.08,53.29,64.98,15.46,1887.71,0,5431.73,999999999,0,26.44,77.1,33.2,16.43,16.39,12.76,12.26,14.23,0.75,0.87,3.23,4.03,7.17,16.82,21.71,90.63,50.91,0.01,0,10.95,12.21,-23.97,1368,-10.4,9.15,11.5,-0.23,-13.93,7731.01,,1270.07,86.61,0.83,7.92,0.97,1.28,,,,,,31103.53,,,,27.98,330.56,1264.42,39.44,44.19,55.81,41.56
(주)빅솔론,093190,2018/12,8.91,10.29,-4.69,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/08/20,,829.23,659.37,207.92,68.66,11.39,1515.1,0,1050456.56,999999999,0,24.42,78.08,33.32,14.79,16.96,9.08,7.77,8.85,0.53,0.6,2.21,3.29,5.74,14.98,24.37,110.93,63.62,0.01,0,0.82,5.71,-30.11,809,1.95,-13.71,5.83,1.14,-10.83,4431.06,,655.21,89.77,0.6,7.43,0.69,0.87,,,,,,36239.98,,,,22.24,312.77,794.91,42.51,51.21,48.79,39.9
(주)빅솔론,093190,2019/12,5.85,6.57,-0.47,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/08/20,,917.27,706.67,162.6,65.19,11.68,1522.5,1.41,93.46,999999999,8.81,29.97,73.17,31.5,11.2,11.27,7.02,5.81,6.48,0.52,0.58,2.13,3.16,5.79,15.7,23.25,115.34,63.07,0.01,0,0.72,0.49,-34.2,565,25.05,23.3,-5.61,5.79,-24.59,4410.05,,494.09,89.54,0.62,6.51,0.69,0.88,,,,,,35532.38,,,,21.65,245.23,4048.17,41.88,57.82,42.18,26.92
(주)빅솔론,093190,2020/12,3.4,3.8,-12.24,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2007/08/20,,1026.89,817.17,395.66,72.04,11.39,1538.25,1.08,61.92,999999999,3.28,22.49,79.81,28.13,5.57,7.51,3.63,2.52,2.81,0.45,0.5,1.93,2.74,6.14,15.11,24.16,133.41,59.47,0.01,0,0.44,1.03,-41.68,340,-5.46,-24.44,9.57,-2.54,-56.35,3870.38,,215.69,89.78,0.54,5.28,0.59,0.76,,,,,,27765.98,,,,16.85,203.62,4526.97,37.29,76.87,23.13,20.13
(주)삼기,122350,2017/12,3.38,9.45,-3.92,  자동차 및 트레일러 제조업,2010/03/19,,46.3,35.42,6.25,-28.08,183.69,3857.16,52.53,3.01,3.89,2.64,214.99,24.22,13.95,4.55,3.72,4.13,4.12,11.54,0.91,2.54,1.17,16.84,7.28,17.61,20.72,21.67,50.11,0.02,0.15,9.41,6.42,-13.1,353,4.55,4.68,27.44,23.48,-37.69,9490.35,,431.57,35.25,1.35,1.21,4.01,5.27,,,,,,84185.11,,,,24.96,36.52,68.42,28.78,43.66,56.34,12.94
(주)삼기,122350,2018/12,0.16,0.47,-5.23,  자동차 및 트레일러 제조업,2010/03/19,,48.37,37.92,8.35,-28.06,196.71,3642.75,55.53,0.91,1.14,3.02,218.7,26.29,10.89,1.98,0.21,1.55,1.49,4.34,0.75,2.19,1.01,13.26,6.77,15.84,23.04,27.53,53.95,0.02,0.24,18.19,13.01,-94.59,17,11.83,14.96,28.31,17.92,-58.66,7960.96,,157.9,33.7,0.96,1.06,2.97,3.83,,,,,,72992.86,,,,18.31,30.38,57.88,26.33,48.43,51.57,0.81
(주)삼보판지,023600,2012/12,3.07,5.95,-5.63,"  펄프, 종이 및 종이제품 제조업",1996/05/29,,86.04,60.47,8.49,-3.64,74.13,3478.51,28.41,4.18,4.9,3.89,135.11,22.41,18.87,8.09,5.39,4.79,4.6,8.13,0.57,1.01,0.75,7.88,4.59,17.49,20.86,46.32,79.56,0.01,0,2.32,6.06,232.93,10051,8.56,6.38,-9.64,-12.61,83.38,208276.51,,16845.38,57.43,1.09,0.89,2.38,3.42,,,,,,63752.88,,,,12.3,19.13,60.34,21.86,36.2,63.8,24.67
