회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율(IFRS),[제조]총자본증가율(IFRS),[제조]자기자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]유형자산증가율(IFRS),[제조]비유동자산증가율(IFRS),[제조]유동자산증가율(IFRS),[제조]재고자산증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본사업이익률(IFRS),[제조]총자본순이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]1주당순이익(IFRS),[제조]1주당매출액(IFRS),[제조]총자본회전률(IFRS),[제조]자기자본회전률(IFRS),[제조]비유동자산회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]매출채권회전률(IFRS),[제조]매입채무회전률(IFRS),[제조]매입채무회전기간(IFRS),[제조]재고자산회전기간(IFRS),[제조]매출채권회전기간(IFRS),[제조]1회전기간(IFRS),[제조]운전자본회전률(IFRS),[제조]순운전자본회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]유동자산회전률(IFRS),[제조]당좌자산회전률(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]순운전자본비율(IFRS),[제조]부채비율(IFRS),[제조]자기자본배율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]비유동비율(IFRS),[제조]유동자산구성비율(IFRS),[제조]자기자본구성비율(IFRS),[제조]부가가치(IFRS),[제조]총자본투자효율(IFRS),[제조]설비투자효율(IFRS),[제조]기계투자효율(IFRS),[제조]부가가치율(IFRS),[제조]노동소득분배율(IFRS),[제조]자본분배율(IFRS),[제조]이윤분배율(IFRS)
(주)강스템바이오텍,217730,2019/12,2015/12/21,,    기초 의약물질 및 생물학적 제제 제조업,5,-71.82,49.02,47.76,0,59.91,119.28,13.76,-93.16,49.86,-8863.64,-23.07,-30.34,-42.09,-1200,13.54,0,0,0.01,1.05,0.54,1.13,324.12,346.98,672.96,0,2.14,0,0.02,0.01,0.01,327.75,327.53,32.42,35.32,39.21,588.19,-23.34,68.44,50.83,71.83,-16534.36,-16.76,-385.59,-7172.79,-5861.81,0,0,0
(주)강스템바이오텍,217730,2020/12,2015/12/21,,    기초 의약물질 및 생물학적 제제 제조업,5,4.72,-30.95,-27.4,0,-0.83,-41.64,-20.62,-19.16,82.8,-6599.06,-19.06,-23.38,-31.88,-874,12.2,0,0,0.01,9.52,29.09,1.12,326.53,38.35,12.55,0,0.03,0.01,0.01,0.01,0.01,856.3,855.7,151.52,51.62,32.41,405.34,-45.05,55.03,58.44,75.53,-12054.54,-17.7,-53.46,-178.03,-4081.05,0,0,0
(주)강원에너지,114190,2011/11,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,64.02,87.32,27.16,235.2,23.55,14.38,102.88,439.86,25.07,11.46,17.19,13.97,26.29,1120,9476.02,1.22,2.29,9.29,21.24,3.89,4.83,75.64,17.18,93.94,0.03,0.05,0.91,14.19,1.4,1.5,165.07,151.33,52.8,35.19,119.24,924.62,393.9,23.54,89.26,45.61,12844.61,23.91,328.31,1497.94,25.58,43.24,56.76,44.8
(주)강원에너지,114190,2012/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,0,0,0,0,0,0,0,0,19.75,8.43,14.11,10.05,24.85,873,10044.45,1.19,2.95,12.14,27.95,2.56,6.06,60.27,13.06,142.4,0.01,0.04,0.8,24.11,1.32,1.39,151.93,144.74,10.65,30.82,147.2,681.28,58.37,24.28,90.18,40.45,18760.61,21.02,445.26,1901.76,17.62,39.28,60.72,47.84
(주)강원에너지,114190,2013/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,-52.42,-18.84,27.06,-56.3,8.4,24.16,-23.52,-45.21,23.18,7.74,4.96,4.85,9.57,323,3999.48,0.63,1.24,5.16,17.19,1.77,4.14,88.23,21.24,206.63,0.01,0.07,0.46,11.01,0.71,0.74,231.75,223.89,111.08,48.31,57.9,724.37,18.11,23.73,84.97,63.33,12256.79,16.92,291.66,1417.84,24.19,57.57,42.43,32
(주)강원에너지,114190,2014/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,1.62,-7.46,9.96,-71.36,108.97,67.54,-20.72,-16.77,21.2,2.18,3.46,1.61,2.33,80,3577.34,0.74,1.07,3.54,26.93,2.52,6.49,56.23,13.56,144.93,0.01,0.04,0.67,6.96,0.93,0.97,294.21,283.74,72.26,48.05,32.89,701.07,39.01,36.15,72.8,75.25,8510.74,12.7,87.35,844.47,16.53,84.56,15.44,13.2
(주)강원에너지,114190,2015/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,-5.11,20.74,8.79,-21.14,-2.92,21.7,20.38,-28.95,17.05,1.81,1.46,1.2,1.68,58,3202.83,0.66,0.93,2.42,32.89,2.39,5.46,66.9,11.1,152.45,0.01,0.03,0.65,4.96,0.91,0.93,225.55,220.81,110.71,40.4,47.48,719.61,762.19,40.44,72.58,67.81,9171.31,11.33,94.49,1035,18.77,80.33,19.67,9.66
(주)강원에너지,114190,2016/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,-9.02,-12.46,-2.07,0,-2.28,-5.52,-15.09,-72.83,16.29,-1.71,-0.86,-1,-1.4,-50,2914.09,0.59,0.82,2.06,56.65,2.09,6.25,58.43,6.44,174.68,0.01,0.02,0.59,4.63,0.82,0.83,291.71,289.75,76.47,46.27,31.82,704.73,-166.16,39.01,70.4,75.86,8913.55,12.58,94.39,1139.42,20.05,80.71,19.29,-8.55
(주)강원에너지,114190,2017/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,86.99,23.9,-12.33,0,-2.61,1.22,33.43,7.8,1.04,-7.57,-6.53,-7.93,-12.47,-412,5448.95,1.05,1.65,3.94,238.62,2.3,8.05,45.33,1.53,158.63,0.01,0,0.98,8.87,1.43,1.44,181.45,180.46,37.01,34.03,86.31,617.81,-89.84,45.04,75.82,53.68,713.82,0.81,7.76,102.57,0.86,996.57,-896.57,-881.36
(주)강원에너지,114190,2018/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,3.36,2.09,4.6,0,-4.22,-8.02,5.32,50.46,6.86,2.3,1.04,2.23,4.1,130,5632.02,0.97,1.78,4.22,189.82,1.97,6.49,56.25,1.92,185.05,0.01,0.01,0.8,9.49,1.26,1.27,173.94,172.59,47.85,33.25,81.83,641.46,0.35,39.61,78.22,54.99,11569.08,12.91,130.68,1954.99,13.47,58.87,41.13,17.09
(주)강원에너지,114190,2019/12,2009/11/20,,"    구조용 금속제품, 탱크 및 증기발생기 제조업",5,-50.47,-38.51,-53.53,0,2.67,26.83,-56.71,-78.15,-14.43,-78.64,-23.07,-46.24,-92.7,-2118,2210.85,0.59,1.18,1.92,128.45,1.53,4.48,81.54,2.84,239.3,0.01,0.01,0.51,4.74,0.85,0.85,110.09,109.66,12.48,5.05,140.6,262.61,-9.33,108.1,55.07,41.56,-22522.15,-40.87,-264.68,-1219.92,-52.93,0,0,0
