회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]자산(*)(IFRS연결),[제조]      유형자산(*)(IFRS),[제조]      유형자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS),[제조]   비유동자산(*)(IFRS연결),[제조]   유동자산(*)(IFRS),[제조]   유동자산(*)(IFRS연결),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS연결)
(주)코너스톤네트웍스,033110,2015/12,32120645,32740695,7285124,7521446,8968932,8984607,16691218,16585705,15429428,16154990,15354305,15665711
(주)코너스톤네트웍스,033110,2016/12,88283669,105488930,662144,3512728,31094641,34893230,49581434,51296531,38702235,54192399,30744418,38303105
(주)코너스톤네트웍스,033110,2017/12,41278481,41577329,635757,635757,3963956,3953756,7235991,7026429,34042491,34550901,20116510,20459358
(주)코너스톤네트웍스,033110,2018/12,49242385,54124652,435555,2069074,4912212,8888955,19420794,18565435,29821591,35559217,28923637,27674636
(주)코너스톤네트웍스,033110,2019/12,64021459,79716591,1156089,6838619,2288905,13584547,45441759,45140046,18579700,34576545,30970031,36597342
(주)코너스톤네트웍스,033110,2020/12,28915817,39402699,247296,371286,3545019,5254466,3799008,3389041,25116809,36013659,2480532,1183301
(주)팍스넷,038160,2016/12,47470498,,368068,,22243187,,6678183,,40792315,,42132879,
(주)팍스넷,038160,2017/12,49625005,,273094,,18312104,,14944575,,34680431,,44267726,
(주)팍스넷,038160,2018/12,62461084,62762010,7809639,7880091,17462824,17881553,23724141,21405664,38736944,41356347,42700075,42492796
(주)팍스넷,038160,2019/12,76132171,78950571,11369320,12934516,7858043,10679469,25548340,26838200,50583831,52112372,13615537,13227404
(주)팍스넷,038160,2020/12,26832211,32979682,4867700,5784022,7498505,10262548,14047741,15240727,12784469,17738955,-18386435,-16227624
(주)퓨전,195440,2016/12,30722531,,750607,,28215569,,2235794,,28486736,,17618407,
(주)퓨전,195440,2017/12,28834298,,900507,,24697704,,4221488,,24612810,,10375761,
(주)퓨전,195440,2018/12,22699871,,939887,,17369934,,4397915,,18301957,,602621,
(주)퓨전,195440,2019/12,53218724,55650352,1485655,2552987,8860761,16289844,35522865,30247421,17695859,25402931,31709852,31028245
(주)퓨전,195440,2020/12,15227300,17991130,208198,1250184,2418167,13918903,13843199,9942446,1384102,8048684,5705303,4606112
(주)행남사,008800,2011/12,57513162,73704291,9869232,19974451,48195072,53659630,22279621,24596743,35233541,49107547,28831818,31141413
(주)행남사,008800,2012/12,49170232,61473363,6128953,15993463,47611092,46088449,19160622,20680377,30009610,40792986,29773287,31522829
(주)행남사,008800,2013/12,50362512,63908708,5449025,14963613,44901436,43852130,16891197,19851085,33471315,44057623,29945644,33181663
(주)행남사,008800,2014/12,50065606,58726859,5358402,14041878,44849441,42372746,16111702,18478163,33953904,40248696,28290293,27680005
(주)행남사,008800,2015/12,51234051,77797543,5131578,18409110,39073400,41369630,18146502,35515340,33087548,42282203,31566149,34455163
(주)행남사,008800,2016/12,54094698,49125869,8671097,8671097,27950372,27950372,21351881,16382052,32742817,32743817,20267773,15298944
(주)행남사,008800,2017/12,48899395,46291545,13060596,13060596,15317216,15317216,18943495,16334782,29955899,29956763,29003305,26395456
(주)행남사,008800,2018/12,97948943,106134014,16168017,22215488,8673759,8673759,45154380,50259077,52794563,55874937,59312157,60558968
(주)행남사,008800,2019/12,44861059,44161246,18262718,18566815,6667941,7686833,31553797,30702192,13307261,13459055,32087032,30634499
(주)행남사,008800,2020/12,31152836,31997622,13525734,13591027,2646801,8087514,24665448,23700195,6487387,8297428,19168750,19168750
(주)화신테크,086250,2011/12,57128928,,8884517,,29306980,,43342468,,13786459,,38977865,
(주)화신테크,086250,2012/12,57850136,,12330732,,35495230,,42096173,,15753963,,36992911,
(주)화신테크,086250,2013/12,68865475,,24266931,,35000580,,35727492,,33137983,,42338863,
(주)화신테크,086250,2014/12,76065738,92065464,25725245,62306113,45610992,48169472,54939137,64692836,21126601,27372627,43711999,57312516
(주)화신테크,086250,2015/12,81876642,95244947,25049414,59303981,48486851,51972640,54414170,62228854,27462472,33016093,42986882,48953531
