[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
86.33,0.49,0.85,-0.54,650.98,-39.12,21783.87,8.73,73.71,2015,0
89.81,0.48,1.08,-6.57,772.28,10.75,22026.98,-1.52,33.44,2016,0
90.78,0.49,0.96,-1.61,962.04,-3.37,20872.42,-1.29,36.39,2017,0
86.58,0.86,0.79,11.53,417.32,4.89,3125.76,6.15,49.69,2011,0
85.47,1.01,0.82,3.18,273.98,25.65,3746.62,6.23,47.53,2012,0
71.2,0.6,0.76,21.08,163.86,1.03,3868.31,2.85,43.8,2013,0
75.6,0.9,0.61,-0.68,127.93,28.15,3790.3,3.62,46.19,2014,0
70.52,0.77,0.62,0.37,146.85,-11.24,3422.91,-4.24,30.25,2015,0
66.38,0.76,0.76,-0.07,155.87,-5.02,3646.55,-1.89,36.15,2016,0
56.87,0.75,0.86,-4.54,107.57,-4.23,3947.2,-8.74,22.93,2017,0
51.42,0.69,0.92,6.92,112.74,-0.43,4103.56,3.79,47.23,2018,0
87.86,1.04,0.84,2.91,452.37,-3.62,2270.98,2.7,30.08,2011,0
87.65,1.03,0.99,0.42,482.73,-8.74,2516.25,1.9,27.18,2012,0
87.28,1.01,1.15,1.81,652.68,-7.42,2698.99,5.5,34.67,2013,0
86.91,1.11,1.65,3.1,577.29,-15.59,3431.44,7.28,34.87,2014,0
80.73,1.29,2.28,12.76,312.35,22.26,4820.19,8.94,31.76,2015,0
82.93,1.02,3.31,15.09,434.57,-26.24,5678.5,16.65,41.42,2016,0
83.93,1.13,4.21,21.9,488.6,-1.21,7188.29,22.4,42.78,2017,0
81.3,1.06,4.98,28.63,457.09,10.62,8882.52,23.71,45.15,2018,0
37.83,0.69,1.51,-4.87,85.06,-16.72,605.51,-12.21,-0.88,2011,0
78.65,0.16,0.85,187.78,553.67,201.9,3589.72,-26.82,-81.14,2018,0
70.81,1.1,3.96,75.19,265.42,132.59,7085.55,22.05,60.85,2012,0
85.04,0.79,2.21,-11.72,496.8,-2.49,4546.41,3.78,59.17,2013,0
81.5,0.93,2.26,3.38,353.59,6.88,4873.74,1.61,55.77,2014,0
82.78,0.88,2.28,1.51,401.33,-10.04,4687.1,1.29,53.86,2015,0
86.82,0.72,2.29,23.79,572.79,-1.68,4395.47,0.44,55.33,2016,0
86.46,0.45,1.49,-18.84,530.53,-6.74,2063.28,-18.38,45.9,2017,0
86.9,0.63,1.92,-9.22,560.63,-10.27,2424.69,-7.96,62.92,2018,0
30.53,0.76,2.03,7.19,85.98,2.67,905.27,-6.41,9.04,2011,0
34.74,0.91,2.39,-5.27,96.11,0.02,966.5,-7.44,8.67,2012,0
46.8,1.17,2.46,-7.28,91.07,8.76,911.64,-14.67,8.97,2013,0
56.03,1.19,2.02,6.6,139.91,3.15,654.68,7.97,18.71,2014,0
68.93,1.2,1.56,87.35,173.5,106.5,645.67,-3.79,14.94,2015,0
64.59,0.89,0.87,14.57,153.99,32.6,528.1,-6.54,18.39,2016,0
76.75,0.92,0.83,-2.33,211.86,-11.42,519.78,-0.89,26.95,2017,0
81.57,0.87,0.87,2.79,238.58,-0.78,503.99,4.28,30.01,2018,0
44.86,1.32,1.32,-2.12,132.84,8.2,12650.06,-0.71,24.56,2011,0
46.3,1.58,1.27,5.98,107.66,10.97,13312.21,3.63,29.54,2012,0
29.51,1.53,1.46,16.63,89.92,7.54,16683.9,-12.48,16.41,2013,0
38.76,1.2,1.33,-2.42,138.54,-9.57,15064.85,-2.98,24.69,2014,0
38.79,1.13,1.14,-16.09,79.12,-20.49,11662.45,5.49,44.0,2016,0
50.07,1.31,1.4,-8.48,86.42,-8.81,11846.02,7.78,44.67,2018,0
90.84,0.73,1.54,5.66,786.25,19.38,3232.31,7.71,37.04,2012,0
93.75,0.73,1.37,0.5,1102.66,-0.32,3111.51,4.07,43.15,2013,0
91.43,0.81,1.61,-1.78,718.82,12.39,3977.58,1.15,40.63,2015,0
91.9,0.94,1.67,1.31,887.11,-1.18,4332.17,1.19,35.34,2016,0
77.25,1.03,3.14,9.55,358.5,3.93,4724.55,10.47,26.35,2011,0
85.11,0.83,2.44,-7.65,569.28,-3.2,3679.67,8.22,29.95,2012,0
86.84,0.75,2.49,9.44,736.48,-1.81,3536.56,9.99,37.78,2014,0
90.46,0.58,1.93,-0.82,1112.39,5.81,2789.94,4.08,33.77,2015,0
91.23,1.2,8.22,187.78,1066.53,9.84,11348.77,24.2,36.8,2016,0
95.2,0.49,3.42,-3.84,2214.57,70.03,3689.49,7.01,25.49,2017,0
84.14,0.27,1.76,19.81,556.88,-12.27,2249.58,5.33,38.84,2018,0
90.94,0.97,3.55,61.81,830.66,275.01,3184.25,20.72,44.08,2011,0
86.19,0.92,2.38,28.92,511.41,36.53,3153.73,14.2,36.21,2012,0
82.93,1.0,2.06,19.03,646.31,51.31,3424.37,11.39,34.1,2013,0
82.65,1.0,1.61,9.26,417.82,22.09,3578.45,8.21,31.19,2014,0
83.65,0.89,1.23,4.26,361.44,17.06,3341.2,6.68,31.54,2015,0
66.17,0.73,1.4,113.72,524.76,42.14,3497.9,4.88,32.14,2016,0
54.18,0.61,1.41,40.52,303.29,54.0,4343.05,-2.27,21.17,2017,0
66.89,0.64,1.65,27.79,359.94,7.13,1273.63,-4.41,19.95,2018,0
72.04,0.31,2.27,52.63,307.82,25.15,8031.0,1.7,20.74,2014,0
66.33,0.39,2.76,11.76,289.64,19.51,3013.42,0.48,4.86,2015,0
59.28,0.58,2.25,15.01,273.97,143.08,4587.44,1.65,17.74,2016,0
50.98,0.42,1.03,11.25,165.57,31.19,3449.54,-3.06,10.35,2017,0
50.32,0.66,1.43,0.02,126.79,17.03,5882.73,-5.76,5.88,2018,0
74.76,1.16,0.31,130.32,183.23,170.38,218.74,24.2,85.72,2017,0
53.09,0.47,0.17,17.52,31.76,17.88,940.04,-30.78,-86.84,2018,0
74.39,1.39,3.13,48.08,245.74,61.67,13357.63,10.28,30.79,2018,0
93.65,0.89,4.75,80.29,2122.89,52.64,6584.8,20.65,41.02,2018,0
46.65,1.16,2.82,74.13,140.74,66.8,18212.22,10.96,33.6,2012,0
47.07,1.5,3.47,41.26,227.79,33.57,28172.4,15.54,32.71,2013,0
52.82,0.9,1.28,-19.54,142.9,37.25,13889.95,-4.02,29.55,2014,0
53.59,0.77,0.83,55.35,96.72,45.45,4106.23,-9.17,9.45,2015,0
60.47,1.39,7.2,21.28,206.7,19.2,10731.42,7.82,15.95,2014,0
45.39,1.07,3.95,39.37,151.1,83.97,9340.83,0.83,13.3,2015,0
47.65,1.14,3.85,-12.4,155.73,-1.67,9012.82,-3.76,12.9,2016,0
44.53,1.44,4.66,-3.21,150.72,-10.03,10291.76,-3.75,12.58,2017,0
26.2,1.27,4.42,3.91,206.33,-4.42,9029.49,-17.89,6.33,2018,0
45.62,1.47,3.1,-8.73,172.03,-36.38,3441.36,3.97,34.15,2011,0
43.84,1.28,3.65,-7.12,111.86,-5.56,2505.2,-23.5,22.9,2012,0
46.38,0.87,2.4,-34.53,157.06,-29.23,1252.43,-35.33,-2.74,2013,0
57.75,0.33,0.68,73.17,181.1,87.49,350.29,-29.08,-33.16,2014,0
73.62,0.46,0.6,13.15,345.16,51.56,317.15,-59.2,-55.87,2015,0
87.44,0.45,0.35,-47.32,673.15,-50.53,147.73,-60.81,-230.86,2016,0
42.68,0.33,0.78,187.78,100.93,333.07,1366.56,0.68,45.89,2017,0
61.34,0.63,1.4,9.71,137.1,20.51,5135.76,5.19,35.12,2018,0
