[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
23.68,-6.27,3.53,49.47,485.68,76.69,57.76,55.08,0.0,2016,0
-0.22,0.68,6.4,42.69,470.76,79.76,49.07,63.86,0.0,2017,0
-28.61,-30.44,8.71,1.08,320.59,101.2,39.63,59.65,0.0,2018,0
49.22,9.06,4.72,13.96,303.26,84.32,49.18,60.27,33.21,2011,0
13.4,13.51,2.87,7.21,321.43,96.17,40.82,61.53,-359.37,2012,0
-4.02,-15.88,3.88,8.18,185.69,90.17,51.37,53.93,0.0,2013,0
-27.26,-46.53,3.22,6.07,59.71,95.19,62.27,39.64,0.0,2014,0
-47.32,-8.53,2.02,19.59,246.0,81.88,41.76,71.13,-15.94,2015,0
1.13,7.65,4.53,24.38,264.83,76.34,42.19,75.72,33.78,2016,0
13.39,23.17,2.85,31.95,305.25,67.58,44.41,82.26,26.71,2017,0
-17.14,-19.26,2.99,28.54,247.41,72.45,41.86,80.25,-168.24,2018,0
32.47,45.48,11.88,4.54,2337.11,137.75,29.85,50.93,75.26,2015,0
11.96,12.55,16.95,-2.02,2630.42,145.02,25.75,51.2,81.41,2016,0
1.67,5.01,11.05,0.61,1841.52,137.71,27.17,52.89,77.88,2017,0
3.94,6.94,8.62,-0.4,1969.28,136.48,25.74,54.41,69.49,2018,0
44.44,5.29,7.87,6.42,2269.75,142.36,37.95,43.58,58.72,2011,0
-0.07,5.33,5.95,18.77,2390.72,105.44,51.39,46.1,45.55,2012,0
-19.01,12.72,6.01,11.14,2694.76,115.92,32.34,58.37,53.5,2013,0
-16.48,-3.89,5.9,34.64,2589.97,78.43,47.23,67.28,21.68,2014,0
-11.57,-6.61,5.81,43.87,2418.85,40.48,71.42,70.6,-11.14,2015,0
-15.21,2.5,7.13,48.97,2479.42,44.57,61.94,85.39,27.72,2016,0
-4.12,-2.16,8.1,51.27,2425.79,43.65,62.03,86.99,6.69,2017,0
