[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
69.97,60.3,2.37,12.01,12.78,17.08,62.88,21.92,0.0,2012,0
62.69,47.51,2.85,35.5,5.98,13.72,67.45,19.37,0.0,2013,0
58.46,45.39,4.9,10.58,5.85,11.28,70.77,17.06,207.13,2014,0
67.3,48.41,8.29,13.77,5.05,10.18,70.52,15.09,45.41,2016,0
68.24,50.37,5.7,7.72,5.86,9.79,67.42,11.48,24.45,2017,0
67.81,53.96,4.26,13.33,9.8,16.99,58.18,19.63,10.04,2018,0
32.53,7.34,17.44,7.67,6.94,8.11,45.15,11.26,7.13,2014,0
30.15,-7.22,16.82,15.03,5.03,-21.71,184.4,-19.07,-28.72,2015,0
29.63,-16.1,31.66,2.62,4.7,-13.72,97.93,-16.29,-4.7,2016,0
39.83,-2.88,33.51,16.63,6.21,-0.92,56.37,-1.88,211.96,2017,0
54.28,9.44,38.12,-1.38,4.51,-17.34,109.66,-27.86,53.34,2018,0
64.31,15.3,59.98,-10.87,3.46,-18.41,0.0,-31.86,-2.7,2011,0
75.95,26.14,45.07,-15.1,4.9,-2.53,77.0,-2.03,-29.35,2012,0
80.82,35.62,51.15,7.61,3.71,4.94,54.83,10.89,14.27,2013,0
83.06,39.69,77.41,-0.96,2.74,3.68,64.41,7.2,45.27,2014,0
84.8,50.62,65.39,-2.61,3.38,2.13,63.09,3.95,-17.39,2015,0
84.82,43.63,68.76,-2.37,2.65,-4.46,111.75,-6.62,-4.65,2016,0
83.2,47.27,26.36,-5.49,3.24,-8.73,165.49,-13.79,22.34,2017,0
82.83,47.15,18.54,-19.9,3.69,-5.9,121.01,-10.68,-8.33,2018,0
46.76,5.47,31.19,9.75,6.79,0.12,49.34,-0.15,31.57,2017,0
47.22,8.3,43.96,18.22,7.2,-0.57,62.92,-1.8,11.48,2018,0
64.37,51.33,1.11,46.84,5.88,14.0,43.12,11.15,71.64,2011,0
61.63,48.45,1.78,-6.44,7.4,-6.12,72.61,-2.52,1.09,2012,0
63.38,56.39,2.74,-1.21,5.7,4.32,58.86,2.04,-0.98,2013,0
68.23,60.0,2.67,6.15,3.96,13.58,48.76,6.35,16.79,2014,0
73.05,64.48,2.01,16.42,4.72,17.75,39.87,11.3,-7.48,2015,0
74.18,69.68,2.26,0.95,4.01,14.45,50.36,7.84,3.04,2016,0
69.33,64.93,1.95,5.61,4.36,14.98,51.04,8.51,3.59,2017,0
71.88,64.1,3.32,10.7,4.51,14.68,51.69,8.93,29.14,2018,0
73.77,61.16,39.43,32.41,2.39,-92.77,0.0,-42.45,0.0,2011,0
58.92,45.58,34.37,-10.5,2.69,-43.79,0.0,-25.61,0.0,2012,0
55.83,45.31,24.55,0.82,3.61,-6.48,78.34,-5.31,3.62,2013,0
53.47,41.53,30.58,-3.44,3.08,-12.64,103.84,-8.34,13.7,2014,0
47.74,33.2,30.87,21.79,2.73,-30.08,634.13,-19.71,4.1,2015,0
47.96,34.51,31.44,-13.25,2.62,-66.64,0.0,-46.26,13.54,2016,0
53.43,14.61,20.98,-7.3,3.92,-8.7,84.34,-8.41,-9.97,2017,0
55.36,42.98,15.86,-0.49,3.22,12.82,52.08,11.24,6.34,2018,0
74.32,16.8,69.39,6.92,0.93,-9.94,80.74,-8.09,-5.03,2011,0
68.62,16.54,75.89,-3.9,9.32,-1.43,75.75,-6.29,-21.86,2016,0
56.23,-5.65,49.19,-16.6,13.94,1.15,50.22,12.19,-61.07,2018,0
92.89,51.91,147.47,7.13,2.78,22.68,60.33,11.25,0.0,2013,0
92.46,58.2,147.47,0.37,3.28,26.65,53.53,13.4,0.0,2014,0
88.08,38.69,147.47,45.36,3.87,21.8,53.59,15.01,0.0,2015,0
71.29,17.94,147.47,86.21,2.23,17.12,56.23,12.04,0.0,2016,0
76.37,22.06,147.47,19.72,3.35,22.18,51.21,22.56,0.0,2017,0
75.65,27.55,147.47,-4.07,3.08,19.32,58.68,15.03,0.0,2018,0
