[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
-7.41,-5.13,5.8,28.39,2066.46,69.21,45.65,78.53,24.71,2015,0
-1.07,-1.37,5.21,30.82,2038.19,64.35,49.71,78.16,35.69,2016,0
66.05,132.62,12.53,38.66,2506.2,46.98,66.75,70.79,64.23,2018,0
40.6,9.79,5.56,33.44,1022.85,56.2,61.9,67.81,0.0,2018,0
4.56,3.7,36.3,56.95,1017.38,35.96,68.7,87.03,16.77,2012,0
87.53,31.57,7.71,42.95,2136.47,31.87,81.1,59.32,73.84,2018,0
17.73,21.9,7.61,33.72,1009.23,48.73,68.12,65.41,76.28,2011,0
92.04,126.1,11.36,35.12,2052.37,53.38,61.38,72.35,77.14,2012,0
21.52,10.24,8.15,33.59,2238.3,55.43,62.36,67.9,68.03,2013,0
-2.46,4.44,6.24,29.18,2337.71,66.09,51.37,73.58,59.54,2014,0
20.13,17.44,7.57,27.95,2722.36,72.06,49.29,70.37,57.17,2015,0
41.95,30.26,3.35,23.77,1007.79,51.51,76.48,45.65,52.24,2016,0
15.72,15.56,12.5,23.21,2269.11,76.38,33.19,87.46,71.36,2011,0
8.17,11.31,11.31,21.11,2525.64,79.25,28.71,89.95,66.37,2012,0
6.79,9.01,11.09,40.07,2753.1,57.56,47.16,91.8,63.85,2013,0
30.34,8.29,4.79,39.44,2155.33,60.36,67.06,54.57,51.09,2013,0
9.3,-0.66,6.82,19.32,2141.2,67.18,66.68,49.59,50.09,2014,0
14.12,13.6,5.75,21.28,2260.03,75.0,62.97,49.37,44.69,2015,0
-4.64,0.75,6.98,22.24,2276.95,74.64,60.92,52.35,26.98,2016,0
-4.12,-2.3,6.71,22.14,2224.59,67.74,63.88,53.33,-16.28,2017,0
5.78,5.87,20.5,62.53,2066.67,33.56,69.12,92.03,66.59,2017,0
23.68,18.54,24.57,65.09,2449.89,27.57,75.68,88.2,75.59,2018,0
1.57,-15.19,5.79,18.25,2445.79,125.17,42.7,45.78,-41.84,2018,0
10.91,7.87,10.36,73.63,2715.77,10.87,91.05,82.29,67.79,2011,0
10.39,16.56,5.13,5.33,2088.45,96.33,46.56,55.48,61.03,2013,0
41.34,25.67,4.63,8.18,2592.34,85.25,57.95,49.33,66.33,2014,0
-5.45,5.03,4.15,19.99,2722.82,83.83,54.06,54.8,50.87,2015,0
-8.75,-10.09,3.71,22.18,2448.11,82.98,55.2,53.99,50.58,2016,0
-2.37,2.6,4.64,17.33,2511.83,76.93,56.34,56.75,51.55,2017,0
-1.86,3.88,3.84,25.13,2609.35,70.44,57.69,60.06,50.17,2018,0
-2.39,4.8,3.62,50.15,2055.19,33.79,75.23,73.32,36.35,2017,0
14.84,8.37,4.75,50.83,2226.51,35.47,74.09,73.04,26.57,2018,0
30.68,83.91,6.78,25.16,2571.7,78.83,40.76,75.15,37.07,2015,0
42.15,29.18,8.56,41.18,2545.62,70.94,66.58,47.11,61.02,2017,0
9.54,12.26,3.85,65.18,2035.43,30.27,72.8,89.85,69.61,2013,0
20.38,11.66,4.57,27.23,2135.1,66.92,58.85,61.49,36.04,2016,0
8.02,18.24,10.66,6.85,2149.91,92.22,35.44,70.01,62.39,2018,0
12.18,4.41,4.05,9.18,2065.97,127.47,48.69,40.25,39.48,2018,0
12.39,13.37,8.34,56.98,2059.54,33.15,71.81,85.04,64.9,2013,0
157.83,60.54,12.62,64.51,2306.38,35.91,74.03,72.31,62.93,2014,0
10.25,14.91,12.3,54.26,2650.18,48.09,65.5,71.74,57.64,2015,0
29.04,43.51,8.7,11.03,2259.37,98.68,29.79,71.15,69.42,2016,0
8.6,6.77,13.75,53.67,2807.27,42.75,60.63,92.08,42.96,2011,0
0.6,-3.5,10.12,41.65,2709.05,57.7,46.65,92.45,-13.55,2012,0
10.65,1.59,8.44,54.08,2752.23,42.25,61.46,91.24,53.95,2013,0
-9.73,-3.88,4.02,45.42,2189.78,51.23,52.99,91.76,5.35,2014,0
121.8,102.44,17.29,75.77,2643.61,7.43,92.89,77.82,85.04,2014,0
16.19,13.88,13.93,77.94,2491.0,14.77,86.76,89.6,65.14,2016,0
