[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
32.08,7.93,-2.12,6.62,53.05,27.16,8.2,-0.83,-1.63,2011,0
28.88,2.05,5.98,6.36,60.33,23.89,10.97,4.12,7.56,2012,0
34.42,-3.86,16.63,8.54,32.07,20.29,7.54,-12.58,-24.11,2013,0
29.86,-2.75,-7.7,7.59,46.78,24.13,6.53,-5.85,-7.49,2015,0
33.54,-8.85,-16.09,7.48,62.91,24.24,-20.49,7.06,15.21,2016,0
33.8,-0.67,3.19,8.99,56.42,17.61,2.78,1.38,5.05,2017,0
34.04,-5.35,-8.48,8.41,65.4,18.17,-8.81,8.4,17.13,2018,0
67.12,56.38,13.3,3.9,54.0,34.27,97.03,13.93,11.06,2011,0
62.84,54.85,5.66,3.26,49.28,38.31,19.38,14.28,8.61,2012,0
63.15,57.42,0.5,3.94,29.83,19.71,-0.32,8.09,4.57,2013,0
65.57,54.42,9.26,3.75,28.37,24.39,1.92,4.74,3.07,2014,0
60.6,52.17,-1.78,3.32,23.03,19.03,12.39,1.93,1.28,2015,0
61.56,54.62,1.31,3.84,19.85,6.93,-1.18,1.84,1.3,2016,0
71.08,51.26,9.55,4.05,61.37,32.8,3.93,11.24,13.46,2011,0
69.69,57.45,-7.65,4.4,51.38,44.34,-3.2,11.4,10.15,2012,0
72.87,61.94,7.7,4.29,54.36,35.78,-3.59,12.92,11.23,2013,0
75.66,65.38,9.44,3.71,56.27,34.97,-1.81,15.6,11.53,2014,0
74.03,67.38,-0.82,5.09,34.74,41.1,5.81,8.41,4.6,2015,0
90.39,81.09,187.78,12.1,80.73,8.29,9.84,23.09,28.64,2016,0
83.0,80.02,-3.84,4.99,69.44,12.33,70.03,15.51,7.46,2017,0
87.55,71.83,19.81,3.76,58.13,30.38,-12.27,20.82,5.93,2018,0
