[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
89.75,0.8,1.51,14.64,727.23,-12.82,2699.69,14.65,47.63,2016,0
47.89,1.55,2.58,32.33,84.97,36.92,18456.31,11.75,26.55,2015,0
70.01,1.76,1.98,8.02,123.96,19.81,17992.58,12.71,36.16,2018,0
51.77,0.75,0.78,-23.3,93.11,-13.75,17755.58,3.87,46.65,2016,0
72.31,0.78,2.49,157.83,777.76,137.49,10477.8,7.74,31.31,2014,0
71.97,1.02,1.89,29.7,404.76,62.52,18801.89,3.27,24.43,2016,0
74.04,0.96,1.44,19.88,419.36,31.33,18300.4,2.23,26.45,2017,0
73.36,0.7,2.4,0.53,323.69,7.27,6818.01,4.18,24.47,2016,0
74.64,0.63,0.95,-22.4,342.7,-22.16,2583.81,-30.48,-29.25,2013,0
43.22,1.44,2.51,21.44,102.7,44.26,17627.25,1.73,17.35,2013,0
77.42,1.17,2.36,3.29,248.88,19.66,19092.13,4.42,31.07,2012,0
76.61,1.02,2.05,5.76,260.02,-1.86,18315.94,4.0,42.99,2014,0
75.04,0.95,2.09,1.91,246.09,0.32,18504.37,5.67,42.41,2015,0
77.57,0.93,2.15,-1.12,278.86,0.18,18784.39,0.2,31.55,2018,0
85.61,1.11,1.82,15.47,487.04,24.67,18722.86,14.05,35.31,2012,0
85.3,1.6,2.0,3.83,423.4,-8.04,6879.95,7.2,24.64,2015,0
75.94,0.79,1.66,-9.34,329.92,-10.65,2496.5,-2.57,22.01,2012,0
72.34,1.59,2.3,73.16,253.43,0.48,6859.7,24.2,45.41,2015,0
44.89,1.15,3.09,85.73,121.18,187.25,18387.39,2.71,15.79,2014,0
53.83,1.74,2.94,9.71,124.23,2.93,18494.32,8.96,21.32,2018,0
86.32,0.74,0.34,-18.27,634.08,-26.45,6427.29,-16.28,-30.79,2016,0
68.3,0.7,2.54,23.53,540.88,-7.87,6506.9,7.7,41.08,2016,0
64.4,0.86,2.17,-5.31,298.84,6.09,2543.88,3.59,21.0,2017,0
64.4,1.58,3.6,24.22,231.83,11.97,6881.71,24.2,35.92,2015,0
48.47,1.93,14.14,-4.01,177.07,18.67,17853.86,4.4,5.97,2017,0
77.35,2.36,2.95,-5.23,288.87,-0.65,18332.5,7.26,20.27,2016,0
71.56,0.87,3.24,23.86,305.68,29.06,18593.93,13.3,35.17,2018,0
46.06,1.33,2.11,6.37,90.15,0.09,19081.04,3.37,14.35,2017,0
