,회사명,거래소코드,회계년도,상장일,상장폐지일,삭제여부,사유,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용)
10156,이엘케이(주),94190,Dec-11,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-1.09,17.36,15.22,7.3,10.22,2.83,-39.82,10.73,14.62,4.74,7,4.43,12.09,912,17427.91,0.93,2.55,2.49,3.64,4.24,8.6,42.43,100.21,86.06,0.01,0,0.87,1.49,2.53,139.71,80.32,32.47,169.77,17.4,1432.53,104.64,61.21,37.07,55440.47,21.18,61.1,121.51,23.49,46.88,53.12,20.18,2.75,2.96
10157,이엘케이(주),94190,Dec-12,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-22.11,40.97,42.07,19.93,-4.21,5.89,0,22.94,8.29,-4.02,-2.01,-2.57,-7.78,-602,13236.82,0.64,1.94,1.5,2.42,3.34,7.27,50.22,150.71,109.32,0,0,0.59,1.11,2.07,95.52,48.38,6.13,237.74,-2.54,1336.08,155.19,54.05,29.61,37822.32,12.05,30.87,65.02,20.57,76.07,23.93,-19.55,1.64,-0.93
10158,이엘케이(주),94190,Dec-13,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,56.52,15.76,18.66,3,1.69,-10.31,0,3.83,-6.28,-14.38,-13.28,-12.99,-44.15,-2902,19812.24,0.9,3.07,1.83,3.37,5.81,10.96,33.29,108.23,62.85,0.01,0,0.83,1.79,3.81,78.03,33.45,9.61,242.09,-13.25,1076.66,181.08,47.07,29.23,7640.08,2.36,5.54,12.75,2.65,430.27,-330.27,-541.63,2.04,-5.27
10159,이엘케이(주),94190,Dec-14,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,20.08,-3.7,-5.9,-10.01,10.51,-14.62,0,-22.99,8.51,0.44,3.94,0.5,1.54,87,19648.22,1.13,3.47,2.08,4.49,9.57,17.93,20.35,81.27,38.13,0.01,0,1.08,2.45,5.39,80.31,38.92,10.04,178.58,-10.95,1187.12,154.19,44.65,35.9,62325,21.42,46.44,122.65,18.04,54.79,45.21,2.45,2.32,1.49
10160,이엘케이(주),94190,Dec-15,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-35.79,-16.18,-15.37,-20.9,-31.78,-27.75,0,-39.09,0.39,-15.68,-5.55,-13.35,-39.6,-2002,12610.37,0.85,2.53,1.49,4.12,7.03,16.59,22,88.6,51.91,0.01,0,0.88,1.98,3.82,77.26,43.69,13.59,222.99,-12,809.88,191.26,40.78,30.96,20825.46,9.05,17.06,51.31,9.39,139.82,-39.82,-167.06,1.65,-2.26
10161,이엘케이(주),94190,Dec-16,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-21.33,-32.94,-36.28,-20.27,-76.28,2.97,0,-34.09,-18.41,-41.09,-24.57,-34.68,-162.73,-2816,7177.65,0.84,3.96,1.56,5.16,5.65,9.37,38.95,70.74,64.59,0.01,0.69,0.75,1.83,2.84,63.08,45.53,5.02,985.76,-30.83,108.97,513.84,52.67,9.21,-11043.13,-6.02,-13.55,-39.32,-6.33,0,0,0,1.71,-8.67
10162,이엘케이(주),94190,Dec-17,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,43.79,-15.67,-18.54,-12.51,134.37,-7.1,0,61.06,5.39,-3.02,-1.24,-4.41,-26.82,-142,5087.73,1.46,8.88,3.19,7.15,7.62,9.98,36.56,51.02,47.93,0.02,0.21,1.1,2.69,4.32,76.86,39.8,1.28,305.3,-16.84,119.99,178.59,55.94,24.67,49854.39,31.06,72.3,234.61,19.86,76.01,23.99,-15.2,3.32,-0.4
10163,이엘케이(주),94190,Dec-18,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-21.89,-26.72,-14.7,-21.03,-55.06,-26.01,0,-4.73,-0.74,-15.54,-11.37,-21.21,-106.14,-457,2969.55,1.36,6.71,2.99,4.64,8.63,8.92,40.91,78.7,42.28,0.01,0.23,1.05,2.51,5.47,66.53,25.22,1.96,571.8,-26.37,50.36,319.73,52.41,14.89,15918.59,12.56,31.55,119.18,8.12,186.94,-86.94,-191.37,3.27,-3.07
10164,이엘케이(주),94190,Dec-19,2007-10-29,2020-05-22,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,-74.49,-40.8,-43.24,-56.18,-376.78,-67.93,0,-88.4,-81.58,-129.16,-57.25,-70.86,0,-895,691.37,0.55,0,1.06,2.17,6.72,2.53,144.06,167.99,54.28,0.01,0.16,0.35,1.14,2.4,21.93,17,3.05,0,-136.56,-136.22,0,38.35,-89.01,-47759.04,-85.98,-160.3,-1341.75,-95.51,0,0,0,1.24,-31.74
10285,잘만테크(주),90120,Dec-11,2007-05-22,2015-05-13,,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4,0,0,0,0,0,0,0,0,16.13,-10.77,2.01,-8.54,-20.69,-416,2960.97,0.79,1.99,3.42,4.64,2.34,4.42,82.52,78.71,156.28,0.01,0.39,0.67,1.03,1.33,187.19,145.53,49.36,151.37,35.78,294.61,58.3,76.81,39.78,2661.67,3.55,18,159.44,4.47,147.43,-47.43,-240.75,3.99,0.65
