[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
47.94,1.19,19.37,78.47,9.18,3.15,7.47,15.46,21.43,2014,0
42.62,1.2,19.2,45.07,9.71,106.5,-4.37,-5.88,-6.68,2015,0
33.59,0.89,20.4,54.82,8.03,32.6,-12.03,-9.81,-31.19,2016,0
39.77,0.92,16.54,30.29,8.62,-11.42,-1.69,-1.25,16.64,2017,0
41.86,0.87,15.5,22.6,9.58,-0.78,8.37,5.41,44.12,2018,0
32.08,1.32,27.16,122.9,6.62,8.2,-0.83,-1.63,53.05,2011,0
28.88,1.58,23.89,116.0,6.36,10.97,4.12,7.56,60.33,2012,0
34.42,1.53,20.29,238.87,8.54,7.54,-12.58,-24.11,32.07,2013,0
39.23,1.2,22.8,157.99,8.44,-9.57,-3.54,-6.73,51.06,2014,0
29.86,1.16,24.13,157.7,7.59,6.53,-5.85,-7.49,46.78,2015,0
33.54,1.13,24.24,157.81,7.48,-20.49,7.06,15.21,62.91,2016,0
34.04,1.31,18.17,99.7,8.41,-8.81,8.4,17.13,65.4,2018,0
67.12,0.83,34.27,13.53,3.9,97.03,13.93,11.06,54.0,2011,0
62.84,0.73,38.31,10.08,3.26,19.38,14.28,8.61,49.28,2012,0
63.15,0.73,19.71,6.67,3.94,-0.32,8.09,4.57,29.83,2013,0
65.57,0.81,24.39,13.36,3.75,1.92,4.74,3.07,28.37,2014,0
60.6,0.81,19.03,9.37,3.32,12.39,1.93,1.28,23.03,2015,0
61.56,0.94,6.93,8.81,3.84,-1.18,1.84,1.3,19.85,2016,0
71.08,1.03,32.8,29.44,4.05,3.93,11.24,13.46,61.37,2011,0
69.69,0.83,44.34,17.5,4.4,-3.2,11.4,10.15,51.38,2012,0
72.87,0.9,35.78,15.66,4.29,-3.59,12.92,11.23,54.36,2013,0
75.66,0.75,34.97,15.16,3.71,-1.81,15.6,11.53,56.27,2014,0
74.03,0.58,41.1,10.55,5.09,5.81,8.41,4.6,34.74,2015,0
83.0,0.49,12.33,4.21,4.99,70.03,15.51,7.46,69.44,2017,0
87.55,0.27,30.38,18.85,3.76,-12.27,20.82,5.93,58.13,2018,0
70.16,0.97,15.46,9.96,11.69,275.01,24.97,23.01,66.64,2011,0
68.4,0.92,37.52,16.03,6.11,36.53,18.86,16.95,62.15,2012,0
59.82,1.0,25.98,20.59,8.2,51.31,15.25,13.92,54.68,2013,0
55.11,1.0,26.72,20.99,6.75,22.09,11.96,10.6,49.4,2014,0
49.59,0.89,42.82,19.55,4.04,17.06,11.4,7.26,45.84,2015,0
66.48,0.73,45.98,51.13,4.53,42.14,8.98,4.94,42.52,2016,0
63.26,0.61,38.06,84.57,6.23,54.0,-4.54,-2.85,2.05,2017,0
69.2,0.64,25.29,49.51,7.86,7.13,-8.01,-10.14,-14.82,2018,0
84.78,0.31,8.04,38.81,10.97,25.15,4.93,2.37,61.26,2014,0
83.72,0.39,8.63,50.75,9.83,19.51,1.11,1.06,-44.97,2015,0
65.6,0.58,12.32,68.69,6.57,143.08,2.84,3.29,42.77,2016,0
59.44,0.42,32.44,96.16,3.33,31.19,-7.89,-5.98,-69.98,2017,0
52.54,0.66,25.54,98.71,6.29,17.03,-9.16,-11.29,-101.02,2018,0
75.33,0.7,0.0,57.57,12.99,-0.08,-53.32,-52.21,-38.91,2018,0
11.19,1.16,0.0,33.76,9.05,170.38,41.16,42.78,77.42,2017,0
10.92,0.47,0.0,88.37,8.35,17.88,-203.17,-42.69,0.0,2018,0
60.17,1.39,49.32,34.43,7.68,61.67,8.53,14.51,42.26,2018,0
