[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
36.59,-6.19,6.23,7.76,51.94,35.22,-2.5,2.33,5.19,2017,0
37.81,-7.81,1.45,7.71,52.57,40.4,-0.5,3.3,7.34,2018,0
84.71,49.79,6.43,6.68,43.06,20.64,69.42,3.37,8.93,2017,0
28.72,18.34,64.46,13.19,72.26,13.94,105.17,26.37,25.55,2013,0
62.89,50.29,3.45,9.18,13.85,3.7,89.07,1.98,2.09,2018,0
22.61,-13.41,3.63,6.38,70.96,75.28,11.41,3.26,9.21,2012,0
65.26,31.09,10.36,3.59,71.61,26.22,-5.78,5.94,11.8,2016,0
64.96,30.62,15.86,9.63,54.12,30.02,-1.5,3.34,4.81,2012,0
91.73,81.09,45.36,5.88,57.9,0.27,136.71,10.62,11.51,2011,0
58.5,40.53,-46.95,4.38,82.83,3.69,-9.0,19.18,19.91,2012,0
55.1,32.2,3.28,4.13,53.51,30.92,5.19,5.19,14.56,2014,0
55.44,24.1,0.92,4.05,58.55,29.13,0.14,7.23,16.2,2015,0
58.86,25.05,-0.26,4.11,50.52,32.18,-7.9,5.58,10.66,2016,0
46.02,37.92,33.45,10.41,50.64,0.0,117.43,26.6,25.39,2012,0
10.92,-5.91,3.19,11.04,29.02,21.43,12.5,8.07,3.56,2017,0
50.96,29.27,3.88,5.58,55.16,17.03,2.14,8.2,8.29,2017,0
53.69,42.71,4.84,6.06,67.52,14.7,-1.0,14.65,16.99,2018,0
52.19,27.58,7.87,10.55,59.48,37.16,-5.82,7.63,11.44,2012,0
65.34,56.04,15.96,5.95,70.45,20.81,7.62,11.5,10.19,2011,0
60.94,45.74,2.09,3.57,43.59,49.93,9.6,4.21,2.3,2013,0
54.38,11.59,10.4,5.18,24.44,54.78,10.84,-0.9,-1.67,2012,0
43.43,6.71,-20.98,7.42,41.66,60.89,20.17,2.7,7.59,2015,0
59.75,42.77,49.35,4.97,74.42,8.83,89.38,17.58,15.85,2012,0
58.46,29.16,21.71,6.7,46.65,37.89,-4.92,4.47,8.51,2014,0
21.11,10.75,-0.95,10.21,36.16,35.65,8.6,7.37,9.61,2014,0
