회사명,거래소코드,회계년도,산업명,상장일,상장폐지일,[제조]매출액(수익)(*)(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),차입금평균이자율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),1주당순이익(IFRS연결)(원),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),정상영업이익증가율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),자기자본구성비율(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),[제조]부가가치(IFRS연결),[제조]노동장비율(IFRS연결),[제조]기계장비율(IFRS연결),[제조]자본집약도(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
현대엘리베이터(주),017800,2014/12,  기타 기계 및 장비 제조업,1996/07/03,,1305580742,97.41,92.15,22.36,-1.37,188.66,377.56,27.31,8.57,7.88,5.13,140.02,51.49,19.78,10.25,3.86,12.21,11.75,4.43,19.05,50.31,1.15,4.91,2.43,61.73,6.73,10.3,35.45,5.91,54.24,0.04,0.02,22.45,-10.91,132.77,0,2711,20.9,-5.73,-15.3,138.76,35.63,70265.37,,7199,34.64,1.04,11.83,2.17,2.25,,,,,,241311.44,,,,22.49,202.57,1742.93,18.48,62.06,37.94,20.89
현대엘리베이터(주),017800,2015/12,  기타 기계 및 장비 제조업,1996/07/03,,1448653888,156.67,151.51,66.31,20.71,176.2,520.87,20.17,10.5,4.78,4.58,118.08,57.25,21.44,10.8,-0.35,11.42,11,-0.35,-0.8,30.89,1.02,2.86,2.27,45.79,6.31,10.09,36.18,7.97,57.84,0.03,0.02,10.96,65.22,73.09,0,-185,263.39,45.62,83.69,12.26,17.01,66295.36,,7162.46,36.21,1.04,5.17,1.85,1.93,,,,,,219945.46,,,,12.41,50.29,1842.08,15.18,76.24,23.76,-2.29
현대엘리베이터(주),017800,2016/12,  기타 기계 및 장비 제조업,1996/07/03,,1758791901,145.28,136.92,68.1,15.46,166.42,632.1,16.43,5.19,1.8,9.94,134.31,49.59,22.47,10.32,6.65,9.94,9.36,6.03,18.13,25.34,0.91,2.45,1.93,37.58,6.86,10.48,34.84,9.71,53.17,0.04,0.03,21.41,18.89,21.35,0,5225,55.65,40.2,2.98,79.68,16.01,71401.24,,7370.99,37.54,1.03,3.13,1.71,1.79,,,,,,289077.62,,,,13.72,42.7,2537.4,16.44,76.63,23.37,40.45
현대엘리베이터(주),017800,2017/12,  기타 기계 및 장비 제조업,1996/07/03,,1993700559,123.43,118.42,42.29,7.84,173.88,679.05,21.63,4.98,8.69,6.45,160.72,41.32,19,6.79,3.96,6.63,6.16,3.59,11.59,16.64,0.91,2.45,1.66,40.49,6.96,10.82,33.75,9.02,52.43,0.04,0.03,13.36,8.55,7.43,-27.26,3801,8.89,26.35,-9.55,-36.22,-25.49,80937.77,,5492.12,36.51,1.15,2.79,2,2.11,,,,,,405186.91,,,,17.71,56.18,4562.94,20.32,57.48,42.52,19.5
현대엘리베이터(주),017800,2018/12,  기타 기계 및 장비 제조업,1996/07/03,,1877217929,120.95,112.55,45.39,6.57,155.03,678.33,16.34,5.91,2.33,5.48,158.26,37.94,19.88,7.62,0.08,6.55,6.14,0.06,0.9,16.2,0.81,2.13,1.33,37.19,6.72,10.63,34.33,9.81,54.34,0.03,0.03,-5.84,3.81,10.14,-91.52,299,1.75,9.78,-4.67,63.23,5.75,69121.42,,5267.92,39.21,1.12,2.5,2.03,2.15,,,,,,275090.56,,,,11.58,38.23,2394.11,14.65,77.67,22.33,0.53
현대엘리베이터(주),017800,2019/12,  기타 기계 및 장비 제조업,1996/07/03,,1872538463,105.49,100.66,27.92,2.01,168.7,688.73,19.36,5.96,8.79,5.19,164.71,38.7,20.14,7.27,2.33,6,5.53,1.77,5.22,14.49,0.76,1.99,1.23,34.74,7.53,11.17,32.67,10.51,48.45,0.04,0.03,-0.25,7.28,1.69,510.97,1785,5.1,5.97,9.42,-27.82,-4.8,68845.01,,5007.6,37.22,1.05,2.41,1.98,2.1,,,,,,389827.61,,,,15.3,53.06,2650.5,20.82,65.32,34.68,11.18
현대엘리베이터(주),017800,2020/12,  기타 기계 및 장비 제조업,1996/07/03,,1821184671,128.23,122.77,47.02,9.99,156.12,475.63,19.2,6.4,9.75,4.7,139.84,45.4,21.95,8.24,5.38,6.08,5.8,3.79,9.78,15.2,0.7,1.85,1.22,37.98,7.57,10.74,33.97,9.61,48.23,0.04,0.03,-2.74,3.08,7.77,96.16,2389,1.74,-8.19,20.93,12.24,10.14,66956.96,,5515.48,39.04,0.9,2.27,1.67,1.75,,,,,,466466.25,,,,17.76,60.6,4114.25,25.61,61.34,38.66,20.99
현대오토에버(주),307950,2011/12,  출판업,2019/03/28,,732651791,155.84,155.4,43.81,31.79,149.73,1575.06,0.62,138.91,999999999,17.55,28.18,88.72,10.31,5.98,5.05,13.64,12.48,10.54,25.39,30.1,2.09,5.03,19.63,1123.04,3.49,4.67,78.12,0.33,104.54,0.04,0,20.72,27.79,18.15,12.54,18462,127.14,47.17,25.68,192.56,9.02,366325.9,,21912.41,40.04,1.44,38.91,2.33,2.34,,,,,,157348.19,,,,39.94,1141.25,1672.67,21.48,67.45,32.55,23.52
현대오토에버(주),307950,2012/12,  출판업,2019/03/28,,922020996,154.06,153.98,45.49,30.41,140.61,1857.38,0.54,141.12,999999999,14.56,32.06,86.67,9.42,5.41,4.62,12.9,11.85,10.12,24.78,29.01,2.19,5.36,17.72,1565.93,3.74,4.86,75.14,0.23,97.49,0.04,0,25.85,13.59,17.92,15.16,21261,48.59,34.15,10.97,-78.9,13.77,461010.5,,24929.91,41.56,1.52,28.37,2.5,2.5,,,,,,164092.79,,,,36.67,484.53,1104.75,17.8,63.79,36.21,25.96
현대오토에버(주),307950,2013/12,  출판업,2019/03/28,,1033867128,161.7,161.63,49.83,32.28,117.14,2222.02,0.16,404.76,999999999,8.36,33.44,84.6,9.22,5.23,4.41,12.54,11.61,9.81,22.31,26.46,2.22,5.06,15.42,5440.93,4.01,5.12,71.29,0.07,91.11,0.05,0,12.13,8,19.63,7.01,22752,24.97,24.82,5.42,-14.81,8.39,516933.56,,27022.02,46.05,1.59,23.66,2.6,2.6,,,,,,226506.55,,,,46.87,496.83,1059.41,21.91,70.45,29.55,20.15
