,회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,매출액증가율(IFRS연결)
10037,커머스마이너 (주),223310,2015-12-01,2015-12-24,,  출판업,6,0,76.87
10039,커머스마이너 (주),223310,2017-12-01,2015-12-24,,  출판업,6,0,-53.79
10043,컬러레이홀딩스,900310,2017-12-01,2017-08-10,,  전문 서비스업,5,0,18.46
10053,케이만금세기차륜집단유한공사,900280,2016-12-01,2016-10-19,,  전문 서비스업,5,0,16.96
10060,케이비아이메탈(주),24840,2013-12-01,1994-12-29,,  전기장비 제조업,5,0,7.43
10061,케이비아이메탈(주),24840,2014-12-01,1994-12-29,,  전기장비 제조업,5,0,-15.11
10064,케이비아이메탈(주),24840,2017-12-01,1994-12-29,,  1차 금속 제조업,5,0,31.48
10068,케이에이치건설(주),226360,2017-12-01,2015-10-22,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,0,352839.73
10069,케이에이치건설(주),226360,2018-12-01,2015-10-22,,  종합 건설업,5,0,9.4
10082,케이엠제약(주),225430,2018-12-01,2015-10-08,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0,172921.26
10090,케이지이티에스(주),151860,2018-12-01,2013-07-24,,"  폐기물 수집, 운반, 처리 및 원료 재생업",5,0,13.73
10092,케이지이티에스(주),151860,2020-12-01,2013-07-24,,"  폐기물 수집, 운반, 처리 및 원료 재생업",5,0,-4.36
10114,코드네이처(주),78940,2011-12-01,2004-08-27,,  1차 금속 제조업,5,0,-28.34
10115,코드네이처(주),78940,2012-12-01,2004-08-27,,  1차 금속 제조업,5,0,-29.68
10124,코리아에프티(주),123410,2012-12-01,2010-08-27,,  자동차 및 트레일러 제조업,5,0,2403894.43
10154,코오롱생명과학(주),102940,2020-12-01,2009-04-07,,  의료용 물질 및 의약품 제조업,6,0,-12.88
10155,코오롱티슈진(주),950160,2017-12-01,2017-11-06,,  의료용 물질 및 의약품 제조업,6,0,-75.99
10179,콜마비앤에이치(주),200130,2015-12-01,2014-07-23,,  의료용 물질 및 의약품 제조업,5,0,2361767.75
10195,크로바하이텍(주),43590,2011-12-01,2001-12-20,,  전기장비 제조업,5,0,4.29
10196,크로바하이텍(주),43590,2012-12-01,2001-12-20,,  전기장비 제조업,5,0,-9.75
10228,키네마스터(주),139670,2014-12-01,2011-12-02,,  출판업,5,0,-5.23
10237,테고사이언스(주),191420,2016-12-01,2014-11-06,,  의료용 물질 및 의약품 제조업,5,0,11.36
10248,테라사이언스(주),73640,2017-12-01,2004-01-06,,  금속가공제품 제조업; 기계 및 가구 제외,5,0,6.02
10274,팅크웨어(주),84730,2013-12-01,2006-05-19,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,-1.06
10314,피에스케이(주),319660,2019-12-01,2019-05-10,,  기타 기계 및 장비 제조업,5,0,687.17
10315,피에스케이(주),319660,2020-12-01,2019-05-10,,  기타 기계 및 장비 제조업,5,0,71.87
10373,하이즈항공(주),221840,2017-12-01,2015-11-25,,  기타 운송장비 제조업,5,0,35.97
10379,한국기업평가(주),34950,2013-12-01,2002-02-07,,  사업지원 서비스업,5,0,-4.39
10387,한국맥널티(주),222980,2015-12-01,2015-12-23,,  식료품 제조업,5,0,271210.81
10388,한국맥널티(주),222980,2016-12-01,2015-12-23,,  식료품 제조업,5,0,19.81
10394,한국선재(주),25550,2012-12-01,1995-06-19,,  1차 금속 제조업,5,0,-14.48
