회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,회계년도_y,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
(주)희림종합건축사사무소,37440,2013-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,2.933717192,0,0,0,0,0,0,0,14.64,0.87,5.66,1.01,2.28,103,10747.92,1.16,2.61,7.22,0,4.53,10.72,34.05,0,80.57,0.02,0,0.83,1.38,1.38,150.85,150.85,2.61,125.54,28.3,823.19,36.17,83.96,44.34,68404.71,52.93,920.78,6324.85,45.71,83.7,16.3,1.91,19.48,2.36,2013,12,2013-12-01,2.933717192,-4.29653465,,5.271769531,0.605616474,1.826725717,1.325866729,26.81205061
(주)희림종합건축사사무소,37440,2014-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,-9.353075457,0,0,0,0,0,0,0,6.13,-10.29,-7,-10.05,-32.3,-1094,9742.66,0.98,3.14,6.59,0,5.08,8.17,44.69,0,71.84,0.04,0,0.68,1.15,1.15,146.69,146.69,6.22,221.45,27.12,620.92,47.59,85.2,31.11,57315.87,41.25,776.28,3936.54,42.26,109.61,-9.61,-24.36,18.32,-3.42,2014,12,2014-12-01,-9.353075457,-3.569102036,,-0.762589714,9.087263346,-24.5714806,7.507667334,10000
(주)희림종합건축사사무소,37440,2015-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,0.1,-76.87,12.44,2.56,10.65,0.84,0,0,20,2.69,5.12,2.59,8.02,284,9751.92,0.96,2.98,6.21,0,5.36,8.62,42.33,0,68.15,0.04,0,0.68,1.14,1.14,143.09,143.09,19.41,197.95,25.22,687.03,48.36,83.77,33.56,72731.95,51.04,4246.01,5816.72,53.57,82.29,17.71,5.02,29.78,2.47,2015,12,2015-12-01,0.095093005,-76.87054098,,12.44335931,0.838463127,10.64755243,2.55634752,10000
(주)희림종합건축사사무소,37440,2016-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,2.95,94.43,13.77,0.65,2.16,-1.9,-41.15,0,14.55,1.54,3.95,1.5,4.44,167,10039.35,0.98,2.89,5.65,0,5.06,9.59,38.07,0,72.19,0.03,0,0.68,1.18,1.18,126.58,126.58,19.74,193.52,17.15,701.9,53.85,81.65,34.07,79426.79,55.38,4381.28,5782.76,56.83,85.43,14.57,2.7,55.43,2,2016,12,2016-12-01,2.947396766,94.42832215,,13.77362378,-1.896751011,2.164711945,0.646580811,-41.14551974
(주)희림종합건축사사무소,37440,2017-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,14.11,-33.46,0.55,-6.18,5.58,-7.69,72.42,0,17.66,2.32,6.44,2.66,7.37,288,11455.86,1.15,3.18,6.04,0,5.18,13.93,26.2,0,70.52,0.02,0,0.82,1.42,1.42,148.13,148.13,24.56,160.82,26.1,741.09,51.29,80.34,38.34,90585.3,67.32,4661.35,6465.98,56.8,85.01,14.99,4.09,57.51,3.82,2017,12,2017-12-01,14.10959347,-33.46098344,,0.554021789,-7.694270896,5.58315306,-6.180952234,72.42317523
(주)희림종합건축사사무소,37440,2018-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,6.26,8.8,0.5,-0.02,0.24,-0.15,6.87,0,16.15,2.34,5.35,2.94,7.66,308,12172.44,1.26,3.28,6.39,0,6.15,21.34,17.11,0,59.31,0.02,0,0.94,1.57,1.57,148.21,148.21,33.54,160.13,26.1,742.88,51.42,80.23,38.44,98212.27,73.01,4592.91,6856.4,57.95,85.81,14.19,4.03,73.25,3.28,2018,12,2018-12-01,6.255065826,8.800327068,,0.49829464,-0.148909033,0.241820509,-0.021642058,6.868500388
(주)희림종합건축사사무소,37440,2019-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,5.36,6.05,37.61,20.15,3.04,15.85,-6.96,0,13.88,2,5.38,2.41,7.01,288,12825.4,1.21,3.35,5.65,0,7.07,19.5,18.72,0,51.63,0.03,0,0.89,1.53,1.53,129.41,129.41,37.64,194.86,17.58,765.47,66.75,77.36,33.91,102379.96,63.34,4481.83,7817.22,57.34,86.81,13.19,3.49,71.88,2.88,2019,12,2019-12-01,5.364298245,6.054853563,,37.61350348,15.85120055,6.002448899,20.15282303,-6.961786844
(주)희림종합건축사사무소,37440,2020-12-01,2000-02-03,,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",5,14.17,-5.5,13.53,3.85,5.39,1.02,33.35,0,12.86,2.32,5.72,2.88,8.97,389,14643.18,1.24,3.59,5.22,0,8.3,22.84,15.98,0,43.96,0.04,0,0.92,1.62,1.62,134.71,134.71,39.98,185.6,19.39,806.74,70.68,75.25,35.01,110679.13,65.94,4649.7,7896.76,54.29,85.13,14.87,4.28,81.98,4.03,2020,12,2020-12-01,14.17323457,-5.502801849,,13.52636299,1.017277964,7.216719563,3.849191335,33.35492687
갤럭시아머니트리(주),94480,2015-12-01,2007-07-20,,  출판업,5,-59.74,-5.25,17.61,17.9,7.02,17.99,-87.55,0,43.76,3.82,2.65,1.32,3.5,51,1245.26,0.35,0.86,1.43,0,3.81,1.93,188.72,0,95.72,0,0.53,0.25,0.46,0.46,122.26,122.26,23.67,163.83,13.82,286.06,63.54,75.92,37.9,9938.15,8.01,652.45,4790.79,25.11,63.85,36.15,15.21,25.29,2.69,2015,12,2015-12-01,-59.73668966,-5.254953868,,17.61355443,17.99260755,4.146609874,17.90109817,-87.54587092
갤럭시아머니트리(주),94480,2016-12-01,2007-07-20,,  출판업,5,36.05,-15.52,0.87,15.58,12.52,20.24,135.25,0,45.96,6.83,4.02,2.75,7.5,118,1647.23,0.4,1.07,1.8,0,4.15,2.43,150.18,0,87.85,0,0.58,0.29,0.52,0.52,125.73,125.73,23.39,168.94,16.17,321.86,56.52,78.98,37.18,13651.79,9.52,1060.9,12159.89,25.35,59.94,40.06,26.95,38.33,3.16,2016,12,2016-12-01,36.04587206,-15.51903887,,0.866799993,20.24305897,13.38200403,15.57678247,135.2520051
