,회사명,거래소코드,종가(원),주가변동률,year
252,(주)나스미디어,89600,39050.0,-0.24839948783610755,2016
253,(주)나스미디어,89600,85500.0,0.5432748538011696,2017
254,(주)나스미디어,89600,32600.0,-1.6226993865030674,2018
255,(주)나스미디어,89600,24850.0,-0.3118712273641851,2019
256,(주)나스미디어,89600,41200.0,0.39684466019417475,2020
257,(주)나이벡,138610,5690.0,-0.13708260105448156,2012
258,(주)나이벡,138610,3960.0,-0.43686868686868685,2013
259,(주)나이벡,138610,8120.0,0.5123152709359606,2014
260,(주)나이벡,138610,10400.0,0.21923076923076923,2015
261,(주)나이벡,138610,8180.0,-0.2713936430317848,2016
262,(주)나이벡,138610,10200.0,0.1980392156862745,2017
263,(주)나이벡,138610,11400.0,0.10526315789473684,2018
264,(주)나이벡,138610,9730.0,-0.17163412127440905,2019
265,(주)나이벡,138610,35950.0,0.729346314325452,2020
266,(주)나이스디앤비,130580,2905.0,0.21514629948364888,2012
267,(주)나이스디앤비,130580,2530.0,-0.1482213438735178,2013
268,(주)나이스디앤비,130580,3500.0,0.27714285714285714,2014
269,(주)나이스디앤비,130580,5540.0,0.36823104693140796,2015
270,(주)나이스디앤비,130580,6010.0,0.07820299500831947,2016
271,(주)나이스디앤비,130580,6810.0,0.11747430249632893,2017
272,(주)나이스디앤비,130580,8350.0,0.1844311377245509,2018
273,(주)나이스디앤비,130580,7290.0,-0.14540466392318244,2019
274,(주)나이스디앤비,130580,10100.0,0.27821782178217824,2020
275,(주)나인테크,267320,2130.0,0.011737089201877934,2018
276,(주)나인테크,267320,1400.0,-0.5214285714285715,2019
277,(주)나인테크,267320,4500.0,0.6888888888888889,2020
278,(주)내츄럴엔도텍,168330,71400.0,0.14425770308123248,2014
279,(주)내츄럴엔도텍,168330,14550.0,-3.9072164948453607,2015
280,(주)내츄럴엔도텍,168330,15700.0,0.0732484076433121,2016
281,(주)내츄럴엔도텍,168330,20000.0,0.215,2017
282,(주)내츄럴엔도텍,168330,7130.0,-1.8050490883590462,2018
283,(주)내츄럴엔도텍,168330,2525.0,-1.8237623762376238,2019
284,(주)내츄럴엔도텍,168330,2525.0,0.0,2020
285,(주)네오리진,94860,3690.0,0.07181571815718157,2011
286,(주)네오리진,94860,1500.0,-1.46,2012
287,(주)네오리진,94860,923.0,-0.6251354279523293,2013
288,(주)네오리진,94860,312.0,-1.9583333333333333,2014
289,(주)네오리진,94860,1200.0,0.74,2015
290,(주)네오리진,94860,901.0,-0.3318534961154273,2016
291,(주)네오리진,94860,728.0,-0.23763736263736263,2017
292,(주)네오리진,94860,615.0,-0.183739837398374,2018
293,(주)네오리진,94860,1010.0,0.3910891089108911,2019
294,(주)네오리진,94860,2200.0,0.5409090909090909,2020
295,(주)네오셈,253590,1200.0,-0.3875,2019
296,(주)네오셈,253590,3525.0,0.6595744680851063,2020
297,(주)네오오토,212560,10800.0,0.08333333333333333,2016
