회사명,거래소코드,회계년도,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,[제조]유형자산증가율,[제조]비유동자산증가율,[제조]총자본증가율,[제조]자기자본증가율,[제조]유동자산증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]부채비율,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,[제조]유형자산회전율,[제조]이자보상배율(이자비용),year,month,label
(주)화신정공,126640,2017-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,-2.26,3.47,-6.4,-8.08,-2.35,-10.19,-18.66,-2.84,3.59,1.55,2.93,2.75,3.81,88.0,5509.18,1.78,2.47,3.16,31.55,6.09,7.94,45.99,11.57,59.94,0.04,0.03,2.53,4.06,4.66,176.5,152.87,38.8,34.46,18.76,2208.26,76.26,43.28,74.37,19540.83,18.09,48.74,122.78,9.75,56.89,43.11,15.85,4.61,33256.53,2017,12,0
(주)화신정공,126640,2018-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,5.74,-0.89,-5.97,-3.64,-4.49,-0.59,-65.7,26.12,3.02,0.5,1.93,1.0,1.35,30.0,5825.43,2.0,2.7,3.57,29.94,7.95,9.48,38.52,12.19,45.91,0.05,0.04,2.91,4.55,5.36,179.4,148.92,46.4,35.67,19.76,2109.05,75.09,44.65,73.71,18219.37,17.51,42.45,97.49,8.6,65.35,34.65,5.83,4.81,67.21,2018,12,0
(주)화신정공,126640,2019-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,9.05,4.57,7.54,28.93,5.1,55.45,225.19,53.63,3.88,1.49,3.77,2.9,4.39,99.0,6352.44,1.94,2.94,3.87,23.08,9.4,9.12,40.01,15.81,38.83,0.07,0.04,2.55,3.89,4.68,197.48,164.32,91.23,66.43,26.57,2216.54,76.83,53.84,60.08,22679.4,16.9,55.05,129.5,9.82,57.72,42.28,15.23,5.15,15.27,2019,12,0
(주)화신정공,126640,2020-12-01,2010-08-31,,  자동차 및 트레일러 제조업,5,6.95,9.28,34.01,9.3,6.34,-11.89,39.55,5.14,4.96,1.95,5.09,3.43,5.8,138.0,6793.63,1.76,2.97,3.41,19.86,9.51,8.32,43.89,18.37,38.37,0.08,0.05,2.24,3.64,4.45,133.46,106.73,48.21,71.07,10.88,2357.03,96.83,43.4,58.45,25711.62,17.53,53.83,113.53,10.4,51.81,48.19,18.75,5.15,10.95,2020,12,0
(주)화신테크,86250,2011-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,11.09,16.07,9.29,15.17,6.49,38.66,18.4,60.23,14.38,9.22,1.83,5.06,7.15,292.0,3021.34,0.55,0.78,0.71,2814.14,12.42,9.86,37.0,0.13,29.38,0.0,0.0,1.29,2.47,2.47,103.96,103.86,2.43,46.57,0.92,803.67,111.2,24.13,68.23,8631.68,15.11,109.28,1264.72,29.45,58.38,41.62,31.29,3.54,4.64,2011,12,0
(주)화신테크,86250,2012-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,21.12,38.79,-2.88,1.26,-5.09,14.27,-9.76,30.22,15.84,6.87,2.12,4.24,6.42,264.0,3659.3,0.62,0.93,0.83,2404.45,17.21,9.88,36.95,0.15,21.21,0.0,0.0,1.24,2.4,2.41,108.76,108.64,5.18,56.38,2.19,762.74,113.8,27.23,63.95,9267.79,16.02,105.27,1169.84,26.11,59.63,40.37,26.3,3.35,4.32,2012,12,0
(주)화신테크,86250,2013-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,-1.39,96.8,-15.13,19.04,14.45,110.35,272.63,-0.25,15.95,25.95,3.56,14.34,22.9,982.0,3608.31,0.55,0.88,0.9,2098.45,15.17,8.84,41.31,0.17,24.07,0.0,0.0,0.83,1.43,1.43,156.67,156.59,68.54,62.65,17.41,872.97,84.38,48.12,61.48,19515.55,28.34,122.83,1083.32,55.76,33.2,66.8,46.54,1.91,5.88,2013,12,0
(주)화신테크,86250,2014-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,37.62,156.75,81.07,33.69,35.37,-17.4,0.0,0.0,7.2,-2.46,-2.05,-1.29,2.0,89.0,4965.92,0.52,0.84,0.74,771.71,7.99,6.3,57.91,0.47,45.68,0.0,0.0,0.95,1.76,1.76,117.94,117.67,10.89,60.64,4.52,832.61,112.88,29.73,62.25,10944.51,11.89,18.16,37.79,22.72,88.31,11.69,-10.82,0.77,-4.61,2014,12,0
(주)화신테크,86250,2015-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,7.9,-4.82,-3.81,3.45,-9.9,20.62,0.0,-4.25,-3.05,-15.14,-7.72,-8.4,-9.14,-362.0,5358.0,0.55,0.98,0.82,850.74,8.55,6.67,54.7,0.43,42.69,0.0,0.0,0.91,1.72,1.72,108.64,108.44,8.27,94.56,2.76,750.21,127.12,34.66,51.4,8469.59,8.89,14.31,29.84,16.3,140.37,-40.37,-92.91,0.85,-9.58,2015,12,0
(주)화신테크,86250,2016-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,-30.63,-18.34,-19.7,-11.59,-21.67,3.7,0.0,-63.02,-16.4,-38.45,-13.51,-15.45,-24.14,-807.0,3716.99,0.4,0.86,0.64,880.84,6.0,6.0,60.83,0.41,60.78,2.71,0.0,0.55,1.07,1.07,105.77,105.7,13.73,139.45,2.22,587.61,142.09,40.66,41.76,2875.28,3.41,5.96,11.31,7.97,408.51,-308.51,-482.17,0.67,-9.96,2016,12,0
(주)화신테크,86250,2017-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,-6.99,-0.44,-0.44,-6.97,-4.59,-16.51,0.0,-77.21,16.63,-9.31,-0.35,-3.84,-4.54,-140.0,3457.18,0.41,1.0,0.67,2471.4,8.25,6.59,55.37,0.15,44.22,0.0,0.0,0.53,1.07,1.07,89.91,89.89,9.2,144.44,-4.1,560.66,155.24,36.49,40.91,10393.16,13.27,21.55,40.59,30.99,76.44,23.56,-30.02,0.69,-0.31,2017,12,0
(주)화신테크,86250,2018-12-01 0:00,2006-11-10,2021-08-31,    특수 목적용 기계 제조업,4,-24.67,-3.46,7.54,-17.16,-23.11,-41.66,0.0,39.38,-1.59,-29.02,-8.38,-12.32,-30.95,-854.0,2668.3,0.42,1.07,0.75,4292.63,11.66,5.37,67.97,0.09,31.31,0.0,0.0,0.51,0.98,0.98,81.2,81.17,0.71,161.88,-8.19,435.08,169.31,35.35,38.19,2695.65,4.88,9.25,35.52,10.41,298.05,-198.05,-278.69,0.87,-2.9,2018,12,0
