,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
88,(주)골드퍼시픽,38530,2011/12,4.840897721,468.6450929,62.33646423,112.9041815,-12.71215764,3.590050408,18.85645066,184.7642434
89,(주)골드퍼시픽,38530,2012/12,-6.637732298,-13.17273135,56.32007116,-12.41757791,25.97506238,5.032944988,8.692078773,-74.29700627
90,(주)골드퍼시픽,38530,2013/12,-31.67668283,13.03159748,1.705269397,56.74870017,-12.19615269,-29.38452928,12.8125743,10000
91,(주)골드퍼시픽,38530,2014/12,130.0033957,0.269893421,19.08620562,6.33205289,43.00816922,2.327935416,24.52316837,-18.87728774
92,(주)골드퍼시픽,38530,2015/12,13.03539063,-73.96204012,-77.71316972,-20.96724673,-40.13441491,27.91681391,-31.88528348,34.23650874
93,(주)골드퍼시픽,38530,2016/12,-48.54873585,-48.33556958,-96.74619412,-60.16729901,-61.9811109,-91.08371767,-61.07535671,129.3815766
94,(주)골드퍼시픽,38530,2017/12,-47.52412887,-2.697784116,880.9239297,64.56025892,216.5395188,183.8895854,138.8761854,-95.88159224
95,(주)골드퍼시픽,38530,2018/12,13.45225491,-92.7026877,194.8454327,47.9241045,39.3561605,274.4378873,42.37236142,353.8806346
96,(주)골드퍼시픽,38530,2019/12,98.36313244,860.253769,120.7896266,221.57872,18.61062594,4.891894128,92.84835588,621.4953258
97,(주)골드퍼시픽,38530,2020/12,26.60272672,-22.65760379,-1.303848756,-34.59769341,48.73312023,183.5299178,-2.091470917,-95.25971579
98,(주)골프존,215000,2015/12,1306.034013,10000,10000,10000,10000,10000,10000,10000
99,(주)골프존,215000,2016/12,7.642351296,-6.15187173,307.1945528,1.338352034,10.4383779,10.83536375,5.491410362,0.014707189
100,(주)골프존,215000,2017/12,-7.770410955,-2.018618799,3.71551581,-5.148105225,78.86922499,56.9697785,34.99372794,117.0691551
101,(주)골프존,215000,2018/12,-0.699695037,16.80966435,-20.04260011,16.87992663,-9.543779577,2.924081211,0.151923887,-74.25488383
102,(주)골프존,215000,2019/12,24.31386117,38.59802828,3.636348223,112.1992891,-43.73712262,2.62842681,23.0378572,-20.59585937
103,(주)골프존,215000,2020/12,20.85109804,1.247936543,-3.960855045,7.961748099,44.44627431,12.76117057,17.50115471,136.0135459
104,(주)골프존뉴딘홀딩스,121440,2010/12,-36.25306782,10000,10000,10000,10000,10000,10000,10000
105,(주)골프존뉴딘홀딩스,121440,2011/12,13.39663596,290.1923806,114.6516972,115.641946,95.97093557,114.4813918,100.9047119,-31.78787068
106,(주)골프존뉴딘홀딩스,121440,2012/12,34.215835,278.981706,202.3725213,168.8332538,-3.244933023,17.95811652,43.08073923,57.79856447
107,(주)골프존뉴딘홀딩스,121440,2013/12,26.0667601,12.13425792,79.92244255,30.7010479,4.831734065,3.135515963,17.91700237,-96.18832153
