회사명,거래소코드,회계년도,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장일,상장폐지일,소속코드,산업명
(주)아이엠텍,226350,Dec-18,-30.51,-25.92,-32.28,-28.87,-89.78,-90.25,0,-82.96,29.93,-229.61,-11.58,-66.92,-204.95,-1327,577.85,0.29,1.01,0.56,0.69,2.84,0.01,0.27,0.29,0.99,0.61,122.09,2.99,128.39,169.92,2.15,84.2,80.53,25.46,20.75,-9.96,4345.68,-6.35,2085.82,53.08,2.25,6328.81,19.13,62.53,96.9,53.82,184.96,-84.96,-426.6,2016-02-03,2021-06-11,4,    전자부품 제조업
(주)아이엠텍,226350,Dec-19,64.07,122.97,138.53,-1.75,87.5,685.1,0,17.75,44.64,-9.06,-6.07,-2.87,-28.32,0,300.64,0.32,1.53,0.8,0.85,12.56,0.02,0.22,0.32,0.85,0.53,33.67,10.84,29.07,19.46,18.76,54.63,50.08,1.12,91.11,-26.4,213.55,-0.84,213.88,31.79,31.89,6309.22,11.62,42.59,65.48,45.57,117.15,-17.15,-19.87,2016-02-03,2021-06-11,4,    전자부품 제조업
(주)아이엠텍,226350,Dec-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-03,2021-06-11,4,    전자부품 제조업
(주)에스제이케이,80440,Dec-11,0,0,0,0,0,0,0,0,10.65,-4.82,-0.77,-3.64,-8.29,0,7386.33,0.75,1.5,2.11,2.98,7.22,0.01,0.81,0.96,2.55,1.17,59.41,6.14,50.54,30.08,12.13,83.61,59.16,3.76,951.5,-7.01,98.7,-0.47,127.68,35.74,50.33,11598.26,9.38,31.73,2376.26,12.43,93.67,6.33,-38.78,2005-05-13,2021-09-13,4,    특수 목적용 기계 제조업
(주)에스제이케이,80440,Dec-12,0,0,0,0,0,0,0,0,6.29,-19.98,-6.47,-12.87,-28.47,0,5322.11,0.64,1.46,1.95,3.1,5.25,0.01,0.64,0.78,2.09,0.96,49.56,7.36,69.51,33.05,11.04,66.57,41.84,5.69,627.44,-16.59,126.77,-2.73,151.88,33.03,44.1,2344.04,1.98,6.41,274.34,3.07,480.24,-380.24,-651.11,2005-05-13,2021-09-13,4,    자동차 신품 부품 제조업
(주)에스제이케이,80440,Dec-13,-19.62,-24.48,-18.02,-22.87,-18.89,-43.71,0,1.12,4.06,-27.91,-8.11,-20.15,-52.34,-1317,4757.15,0.72,1.89,2.23,3.59,5.86,0.01,0.2,0.83,2.41,1.07,47.7,7.65,62.25,43.1,8.47,53.03,32.32,1.32,353.18,-28.07,225.74,-3.51,222.5,31.69,30.7,-6136.67,-6.44,-22.21,-781.54,-7.95,0,0,0,2005-05-13,2021-09-13,4,    자동차 신품 부품 제조업
(주)에스제이케이,80440,Dec-14,-17.17,-7.9,-17.1,-17.33,-21.29,-54.25,0,-28.45,3.98,-32.3,-8.96,-20.49,-78.09,-977,3311.02,0.63,2.67,2,3.24,5.24,0.03,0.13,0.65,2.08,0.93,54.2,6.73,69.62,85.62,4.26,43.14,27.1,1.47,154.65,-41.68,547.61,-3.45,442.76,31.63,15.44,-5380.88,-6.82,-21.15,-1018.28,-9.74,0,0,0,2005-05-13,2021-09-13,4,    자동차 신품 부품 제조업
(주)에스제이케이,80440,Dec-15,-17.29,-12.7,-8.97,-35.29,-46.9,22.3,0,-23.89,6.05,-9.35,-8.08,-5.45,-15.8,-127,2315.52,0.58,3.29,2.05,3.13,5.92,0.04,0.11,0.58,1.77,0.82,52.46,6.96,61.69,89.83,4.06,35.85,24.91,2.24,148.73,-44.29,387.23,-2.83,366.64,24.75,20.52,6188.7,9.48,27.87,2020.73,14.71,100.67,-0.67,-63.53,2005-05-13,2021-09-13,4,    자동차 신품 부품 제조업
(주)에스제이케이,80440,Dec-16,-26.35,-7.97,-15.45,-59.5,-67.19,-6.75,0,-69.31,8.54,-65.7,-10.63,-14.96,-47.39,-303,462.51,0.23,0.91,1.14,1.6,3.94,0.01,0.22,0.27,0.61,0.28,94.14,3.88,92.59,114.12,3.2,24.15,18.18,3.95,101.59,-42.75,222.21,-4.5,278.36,13.61,31.04,-929.69,-1.93,-4.55,-827.4,-7.2,0,0,0,2005-05-13,2021-09-13,4,    자동차 신품 부품 제조업
(주)에스제이케이,80440,Dec-17,-5.33,-0.46,3.16,-59.22,-46.39,-10.92,0,-32.05,18.85,-85.26,-10.37,-15.98,-52.88,-240,288.61,0.19,0.62,1.9,2.61,7.06,0.03,0.1,0.27,0.43,0.21,42.12,8.67,51.72,62.3,5.86,9.36,6.32,0.48,78.29,-56.78,242.54,-4.81,322.45,5.86,29.19,-2766.54,-6.08,-13.6,-2779.77,-31.54,0,0,0,2005-05-13,2021-09-13,4,    자동차 신품 부품 제조업
