[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
70.46,0.86,51.72,37.72,8.52,16.4,6.43,6.92,35.92,2013,0
60.64,0.82,58.87,42.97,7.83,46.55,3.86,4.24,31.89,2014,0
52.14,1.21,48.09,32.5,8.21,32.71,2.64,4.59,36.66,2016,0
34.58,1.29,44.34,24.86,8.53,26.2,-0.31,-0.21,31.24,2017,0
50.78,1.08,41.51,106.01,4.78,1.81,0.24,0.48,39.42,2012,0
72.97,0.4,12.09,38.68,2.77,47.75,8.92,6.35,52.4,2012,0
54.68,1.21,0.88,41.53,16.01,1.16,6.59,10.97,28.02,2015,0
52.35,0.8,42.88,33.09,7.03,45.62,9.09,7.24,19.04,2011,0
54.53,0.93,46.08,31.39,5.4,2.39,10.67,9.98,30.97,2012,0
59.92,1.12,28.65,37.76,16.6,3.34,9.24,12.44,48.92,2014,0
63.1,0.92,53.84,24.15,5.1,4.18,11.64,12.54,48.64,2013,0
68.68,1.22,19.32,21.45,44.5,25.7,13.26,16.58,50.49,2015,0
53.34,1.58,10.87,13.43,3.6,40.68,12.15,14.73,55.91,2012,0
61.03,1.61,15.77,20.83,10.34,134.44,10.56,17.89,69.65,2017,0
87.62,1.16,35.38,51.97,3.96,85.44,6.2,12.22,40.72,2014,0
83.75,1.4,23.17,39.19,4.7,28.68,4.23,9.8,42.67,2015,0
76.86,0.93,39.79,41.91,7.55,-10.97,4.42,5.72,56.41,2014,0
79.09,0.91,40.37,43.2,5.28,-8.31,2.82,3.9,52.57,2015,0
76.27,0.73,51.47,36.14,5.67,4.5,5.17,5.42,50.48,2018,0
64.08,1.36,37.36,26.08,12.26,-4.55,9.46,13.19,51.88,2015,0
42.62,0.54,23.97,38.3,3.34,6.97,11.2,4.71,41.1,2014,0
50.79,1.18,43.59,40.45,10.78,2.85,4.8,6.7,47.67,2016,0
77.57,0.73,24.7,44.74,3.98,26.31,7.83,9.25,65.17,2012,0
60.32,0.71,30.1,29.82,1.99,109.64,3.91,2.7,48.23,2016,0
76.34,0.81,46.62,27.52,6.98,-0.27,13.18,15.12,48.89,2013,0
61.38,0.85,59.94,38.22,11.36,100.65,15.23,18.94,77.14,2012,0
51.37,0.9,60.81,35.91,6.24,26.01,0.64,2.54,59.54,2014,0
35.74,0.96,30.08,98.7,6.14,9.17,-4.82,-8.29,6.33,2011,0
49.26,1.23,39.76,93.43,4.46,-7.87,1.75,7.33,41.99,2012,0
39.73,1.23,38.04,114.11,4.96,15.72,2.14,6.16,35.42,2016,0
64.22,1.18,45.73,108.94,22.19,-10.13,-0.15,-0.4,28.81,2017,0
69.45,1.2,45.93,107.97,21.22,-16.71,-0.33,-0.89,19.28,2018,0
65.04,1.01,48.31,119.55,3.8,29.38,2.63,6.93,31.27,2018,0
57.48,0.82,14.24,20.44,5.63,92.79,2.6,2.3,24.74,2017,0
81.01,1.25,19.95,57.3,13.99,5.93,7.68,17.32,53.45,2018,0
63.71,0.96,8.65,14.45,9.97,86.68,13.56,12.95,54.52,2011,0
31.14,1.09,11.79,8.24,11.65,37.66,14.04,7.55,57.93,2014,0
61.94,1.6,28.35,28.23,10.87,-2.73,13.25,27.22,59.53,2017,0
43.07,1.33,25.8,25.92,4.36,23.96,4.17,3.69,37.86,2013,0
92.23,1.4,10.93,29.29,3.64,51.03,1.2,2.44,20.31,2018,0
50.9,1.38,17.2,31.87,10.52,15.57,4.92,7.21,49.69,2018,0
58.11,0.87,57.98,26.08,4.61,14.7,8.14,6.44,39.29,2014,0
35.39,1.04,40.16,133.33,6.28,58.03,1.77,2.94,34.35,2012,0
78.38,0.76,40.89,27.13,14.27,114.38,3.1,3.16,51.88,2015,0
60.86,0.48,42.05,105.03,2.47,5.11,-1.21,-1.25,51.9,2013,0
55.0,1.38,42.18,105.46,6.65,-1.39,-1.86,-7.99,3.9,2012,0
